student_utterance,previous_5_utterances,subsequent_5_utterances,filename,student_tag
I always use Rob's strategy.,"[S] No.
[S] No.
[T] No? Let's do a temperature check. Give me a thumbs up if you feel confident with the multiple skip-counting strategy. A thumbs down if you don't feel confident. Thumbs to the side if you're kind of in the middle.
[S] Well, if you don't want to use it, you don't really like the way if fits.
[T] If you don't like it, you do not have to use them.","[S] I just think it takes more time.
[S] I only use Rob's strategy.
[T] How about this? What if I give you a new-- I'm going to show you a new strategy, and then I'm going to give you a problem and you can decide if you want to use the multiple skip-counting strategy or the new strategy. Does that sound good?
[S] Yes.
[T] We're only going to look at two strategies today, so hopefully it's not too confusing, but I don't want to hold you back if you're feeling like you don't want to practice this strategy. Okay. This strategy is from fourth grade. You can remember it. It's called the quick common denominator strategy. You might not know it by its name,  when I start doing it, you'll remember how to use it. All right. I'm going to add the fractions 3/5 and 1/6. I know that I can find a common denominator by multiplying the two denominators together. Yes, Daniel?",TalkBack.Year1.Rossi.Spring.011520.xlsx,2 - Relating to Another Student
We don't know if... its just confusing,"[S] I never do anything alone.
[T] You're writing your stories together, you're each going to pick the same two. You're not gluing them in there.
[S] Yeah I know.
[T] So  is going to pick one he would like to write a number story about and you're going to pick one. But together you're writing the number stories, okay?
[T] Five eighths, that is right.","[T] What is confusing?
[S] The five eighths.
[T] You don't understand how it came out to be five eighths? Or are you talking about writing a number story? I wouldn't write a number story on that one. If it's confusing to you, don't write a number story on it. Someone else might and then if not, we'll discuS how we would do it.
[S] What do you think the number story
[T] No I'm glad you never left. I hope you didn't see me stand at the back door. Oh that's okay. Good. Yeah. I'm just running, they're fine. They were working and I knew they would be fine. Yeah. Dizzy John?",TalkBack.Year2.Strathom.Spring.041521.xlsx,3 - Asking for More Information
What makes thirds?,"[S] I know.
[S] Oh, yeah. We’re out of reds. We’re out of reds. Oh, well.
[T] Try to get a hard one and try to stump us.
[S] Yes, I got it.
[S] No, those won’t make it.","[S] Thirds, thirds out of a, thirds out of this? Probably the greens.
[S] Light green.
[S] Light green would make thirds out of the orange.
[S] Yeah.
[S] No, it wouldn’t.",Fraction as Number 5_Grade 4.xlsx,3 - Asking for More Information
"I want you to look at some pictures and I think it's going to make more sense and this is the way you could do it and we will make it make a lot more sense. It says that the red circle as a whole we can show two and one-forth like this then you can split it up in fourths then you can leave with your pieces. One, two, three, four, five, six, seven, eight, nine. That's a great strategy of just number your pieces. Did anybody do that? That's a great strategy. Then you know you have enough pieces. I like number lines. Notice this number line. Everybody look at this number line. It has zero-fourths or zero and then it goes all the way. Look there's four-fourths or one, then you go to eight fourths or two and then they go all the way to twelve-fourths or three then they get to nine-fourths because it's eight-fourths plus one-fourth is nine-fourth. For this next one, two and three-fifths and one and one-fifth, here's another simpler way you can do it. You could add, and I saw people adding the [unintelligible 00:23:07] whole numbers, look at what you can do? If you have two whole and one whole notice what they did here. What did they do? One plus one plus one you add your wholes first. What is one plus one plus one? Three.","[S] For the two and three-fifths, I did five plus five for those two wholes, I got 10 and I did three-fifths  thirteen-fifths and then I did one and one-fifth, so five-fifths plus one-fifth and I got six-fifths and then I added those together to get nineteen-fifths.
[T] What you're saying is when you got these five-fifths, that was the two wholes and then you added a few more pieces. I can clearly see your thinking here. Here I give five. This would be one, and one more fifth would be six-fifths. If you understand what Silas did up here. He did it with equations and on pictures, the answer is nineteen-fifths, but there's another answer.
[S] Let's get Silas to power clap. One, two, there, clap. What did you have down here? [unintelligible 00:18:32] we can see through. I see you have three and four-fifths. How did you know it was three and four-fifths? Because five plus five plus five is 15 and the 19 is .
[T] Very good, and you said the answer two-eighths. nineteen-fifths, three and four-fifths. Is it okay if I add something just to show the class? Excellent  job. He was saying if there's nineteen-fifths, here's one, that's five. 15, this is 15 and then there's one more. Stand up if this is what you also got. You got nineteen-fifths or three and four-fifths.
[T] Awesome job. Did anybody have anything they want to add or share, comment, revise their thinking. Did we give you a power clap. Give Silas a power clap. One, two, three, clap. Silas [unintelligible 00:19:44]. Nice, worked out. I'm going to go through and show you. Can everybody look up this way? I'm going to go back to this part here and show you maybe. I feel like it's frozen this is how my morning has gone. We'll try it again. It's been thinking, and if thinking too much-- Just a second. Turn and tell our neighbor maybe how you revise your thinking for those problems? Turn and to tell your neighbor. I just want you to take a quick little break so you can listen it's  at least for today then come back and sit down. Thank you for . 10 and you make it nine, eight, seven, six, five, four, three, come back you're going out there three, two. . Now I mean just going after the  who's getting him for the ball. He said no not much.","[T] Three. Then they added the fractions that have the same denominator. We have three-fifths plus one-fifth is four-fifths. The answer is three and four-fifths. Turn and tell your neighbor how you add mixed numbers pretty easily. What do you do? Turn and tell your neighbor what do you do? What is the first rule for adding mixed numbers?
[T] I'm going to pull a card and I want you to tell me if they have the same denominator what's a really easy way to add mixed numbers, the very first step, a very easy way to add mixed numbers. Landon what do we do?
[S] The ones are whole and the ones that read isn't whole it would be--
[T] You add the wholes then add the fractions. You don't add them together get three and one and-- You have to remember it's wholes and then a fraction. They have the same denominator. One plus one plus one plus three-fifths plus three-fifths. You have three whole and four-fifths. If you add your wholes in it and then my friends yesterday that I worked with, if you have different denominators you know how to do that.
[S] Once you get your answer [unintelligible 00:25:07] show it two ways you just have to convert to an improper fraction. You think about how many pieces that really would be. If I'm talking about fifths we're going to cut by fifths three times. Ready? five, 10, 15 and now we have to wear three pieces. 16, 17, 18, 19. You could write three and four-fifths or nineteen-fifths. Those of you who feel like, ""Okay, I've got this down. I'm having a hard time figuring out pieces."" Draw a picture and you can count the pieces. Think about what makes a whole. We're going to be looking at our journals at some of the work problems and we're going to practice doing what we did today. We're going to practice adding those mixed numbers. Gentlemen show me that you can find the right page in the [inaudible 00:26:05]. How are you? Good. How are you?",TalkBack.Year1.Tolliver.Spring.011620.xlsx,4 - Making a Claim
Yes.,"[T] So let me ask you a quick question before we finish solving this. Have you noticed that I keep saying that over and over again?
[S] Yes.
[T] Do you think that's gonna be a big part of fourth grade?
[S] Yes.
[T] Ladies and gentlemen, there are two things. Fractions are going to be the main part of what you're going to learn this year. Mr. Josh, focus on me, please. Fractions, fractions, fractions. When you take CMAS, which is the fourth grade test that sees what you've learned, I would guess that anywhere from 70 to 80% of the test is fractions. So do you think they're mildly important?","[T] And I've told you that there are two rules that you must remember when dealing with fractions. Find a...
[S] Common denominator.
[T] And whatever you...
[S] Do to the top you must do to the bottom.
[T] Okay, and we've explained why right? You all know why we do both of those things? Laurie already explained why we find a common denominator. Who can repeat what Laurie just told me? Why do we find a common denominator? Oh my goodness. I have five people can repeat what Laurie literally just said which was the right answer? Malaria? What did she say?",TalkBack.Year1.Parker.Fall.120319.xlsx,1 - None
No.,"[S] Good.
[S] I'm with you.
[T] OK, so that's really very interesting.
[T] Let me ask you to explain that to Brian for a minute, but we'll let him eat first. 
[T] Did you eat, Brian?","[T] Just help yourself. 
[T] You can watch us.
[S] We don't get another break?
[T] All right, Brian, just eat.
[T] You can.",Video Mosiac 11th grade Pascal 1.xlsx,1 - None
"Oh, whoops, you were right. Sorry, sorry.","[S] No, if that, if that, if that…
[S] If this is three, what is six?
[S] If that was considered…
[S] Hold on, I’ve got to check.
[S] Three of something…","[S] All right now…
[S] I was thinking it was that.
[S] Let me bump you off with one.
[S] Like you can.
[S] If this [holding up purple] would be considered, wait close  your eyes, okay, if this was consider one half, what would be  one?",Fraction as Number 6_Grade 4.xlsx,2 - Relating to Another Student
How would you make three? That’s four.,"[T] Yes. But if I do this, I make into three equal lengths, then I  measure it, what that would be?
[S] I think it’d be a half. Well, it would be… 
[T] So now you have four folds. Right?
[S] Four? We need three right?
[T] Right, here we say two-thirds.","[T] That’s right. Suppose, let’s just use this because this is one  meter, right? So here’s one meter if I  do this. This is not very easy to do but what I mean is. Can  you hold one end? Just hold this. Ok, now roughly we have  three. We have cut one meter into three equal lengths, right?
[S] Put it up against this and see what it would come to. Not  exactly.
[T] Yeah, but roughly.
[S] Thirty-three?
[T] Remember what we did last time about one-third of a meter.",Ribbons 1_Grade 4.xlsx,3 - Asking for More Information
"Well, we have one meter so you take one and there’s two in  one.","[T] What I would us to do is I want to spend time talking about  the way you’re thinking, about what you discovered about  your problems and how you can convince me that you can  make so many bows. I’m curious. I think some of you can  get some part time jobs working in some wrapping  department so that we don’t waste ribbons right and we’ll  know how many bows we can make and we know what to  order. We don’t want to waste anything. We want to try to  have maybe an operation or a company that produces lots of  these bows with very little waste. I am interested in the way  you’re thinking about it. I was walking around listening to  all kinds of ideas. How many of you finished problem  number one? With the white ribbon? How many of you are convinced that your answers for  number one are correct and can prove it to me? And nobody  can persuade you that you’re wrong. How many of you are  absolutely convinced about that? How many of you still  aren’t sure you have answers but you’re not totally  convinced [two hands raised in view]? Looks like we have  some work cut out for us, isn’t that right? Ok, can someone  tell us what that first problem is about in your own words? What we’re asked to do in that first problem? And then tell  us how you think you can you convince us that your  solution is correct? Kelly.
[S] Well, you’re supposed to like… there’s one meter of white  ribbon and then you have to split it into, um, a half so I got,  um, two bows.
[T] So you’re telling me I have one meter of white ribbon and I  split it in half, I have two bows? How many of you agree  with that? [students raise hands] Ok, I’m convinced. What  about the next one if I have one meter of ribbon and I have  to make bows that are one third meter in length, how many  of you think you know that answer to that one? And you’re  sure you have the answer to that one? What do you think is  it? How many ribbons can you make? Caitlin.
[S] Three
[T] Caitlin thinks three. How many of you think three? [students raise hands] How many of you think something  else [no hands in view raised]? Can you prove it?","[T] I see that, how did you do that?
[S] Then it’s one third so you divide it into thirds and you  would get three.
[T] Can anybody show me that? I was having a little bit of  trouble. I was talking to Laura and Jessica a few minutes  ago and asking them if they can convince me that if I have a  ribbon a meter in length, and I’m making bows from ribbon  one third meter in length that I could find three of them. Can someone show me that? Prove it to me? Why don’t  you- can you do that? Kelly can you come show me? Kelly  thinks she can prove that.
[T] Can I hold it for you? What did Kelly  do here? Did you all see what she did? Who can tell me  what Kelly did? Kimberly.
[S] She folded it three times.",Ribbons 1_Grade 4.xlsx,5 - Providing Evidence/Explaining Reasoning
No I know that...,"[T] 
Okay now 19/24 is just a fraction it's not an improper fraction so we don't have to change anything with it. So your final answer here is, 12 and 19/24. Do you guys have any questions about that one?
[S] Miss, I get everything, except how we do the nine over 24 and ten .
[T] You mean like how we got to those equivalent fractions?
[S] 
Yeah.
[T] So if I have 3/8 here. We can think of this like a ratio table and I want to get eight to 24 because that's a common multiple between eight and 12. So I have to...","[T] Oh okay then what's your question sorry?
[S] I don't get how you got the nine over 24 and the 10 over 24.
[T] 
Okay so I think I'm going to keep explaining it, but if not you can ask your question again. So eight times three is 24 and then nine times three, oh sorry. Three times three would be nine. So 3/8 and 9/24 are equivalent. What I'm trying to find what their common multiple is, well I could say I want to find a common multiple between eight and 12. So I could say eight, 16, 24, 32. And for 12 I could say 12, 24, oh but I can stop there and that's a common multiple between the two of them so that's the number that I'm going to use for their denominators. Did I answer your question or not? Not really?
[S] Not really.
[T] 
Can you ask it and maybe someone else can help me out?",TalkBack.Year2.Davies.Spring.022621.xlsx,1 - None
Can you explain?,"[S] Ow.
[T] Did you . Oh, I see.
[S] Whoa.
[T] Sorry, sorry. I know I need . All right, I want you to have a conversation with your partner about how is being solved. I'm not going to play the answer yet. I want you to have a conversation with your partner.
[S] I got 646.","[S] I got three thousand
[S] 18 divided by
[S] ... times 3
[S] 8 x 6
[S] I put 8",TalkBack.Year2.Levy.Fall.111220.xlsx,3 - Asking for More Information
Are you figuring out the big one again?,"[S] Right.
[S] I know what the thirds are.
[S] What?
[S] Oranges
[S] Oranges?","[S] No
[S] No, we're trying to…
[S] Three oranges. Alan Erik, use the yellows. Think big.
[T] A suggestion I have, Alan and Erik, if you can find another table  who's solving the same problem then maybe you can combine
[S] Well, we need a lot more Cuisenaire Rods. Well, let's work with  three and then we'll do four.",Video Mosaic Grade 4 Building large models 1.xlsx,3 - Asking for More Information
"Then, but then you could cross out, OK, could you cross out?","[S] It'd be N minus X factorial, um, times X plus one factorial?
[S] Right? 
[S] Yeah.
[S] A little simpler. 
[S] I still don't like it though.","[S] Which are you talking about?
[S] Up, no, the bottom and the top.
[S] The top.
[S] Oh, that's plus one. 
[S] All right, my bad, I wasn’t even paying attention.",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
Ten high.,"[S] With the total
[S] We tried to go over that.
[S] If you have ten different, what was it? 
[S] Ten different things.
[S] You have","[S] Ten high.
[S] Ten high. 
[S] How many
[S] How many would have two reds, only two reds.
[S] How many would have two, two reds.",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
"Okay, when you are done writing, you need to actually answer three, four, and five on this page and draw your book. So I'm coming around with these. Yes, two, two. Lisa, there's a sheet on my desk. You need to get that. I think the book will be wider because you multiply by X.","[T] You may. I need to do Tommy and James
[S] You're handing out Tommy’s and James's too? Thank you, I appreciate that. Go ahead and do yours. I'll add this part to theirs. I love when they got what I need to take classes [inaudible 00:55:31] my children are out there alone. I don't think so.
[T] Do you like that?
[S] Okay.
[T] Oh my God, you should not be standing in the hall, Frank, you should be in the classroom. Never once from my direction, please.","[S] Thank you.
[T] You're welcome. You're going to do that first and then you're going to draw it. Two.
[T] Two. You're doing everything with your partner. Lisa, join this group over here, please. Make her answer it, do not just give her the answer. She needs to answer it. Very good.
[S] Just a second, Lisa. I see why you did, I'm sorry. It's right there, and then go work on that. I'm just listening. He's writing, can you tell me what your answer from question one and two. Two and 10.
[T] Read the questions. Just one second, sorry.",TalkBack.Year1.Strathom.Fall.121019.xlsx,5 - Providing Evidence/Explaining Reasoning
"Sorry. Up until now, you have been asked to find a fraction of a whole number. The second one was finding a fraction of a fraction, and that threw some of you. I could see by the looks on your faces that you were like this, ""I think I know what it's asking me,"" but it threw you a little bit. What was the most challenging part about finding half of a fraction? What was the most challenging part of that? I'm going to let you do a 10-second think. Clairedon, what was the most challenging part of that for you? I think the most challenging part of that for me was like if you were to divide like 1/2 of 2/4, when I was trying to figure that out, I saw that it was hard because you just have a whole that you could spread into pieces to have a fraction to make it into.","[S] Agree.
[T] Nice job, ladies, thank you. Here are your eagle box and you understood that.
[T] There's that and there's that.
[S] Got it.
[T] Okay, so, my friends, up until this point, you have only been asked to--","[T] Okay, so you couldn't divide up that other fraction, you couldn't figure out how to divide up those fractions. Anyone else want to add to that?
[S] My most challenging part was that the whole numbers couldn't be divided by a half.
[T] When the fraction, you mean, couldn't be divided by a half?
[S] Yes.
[T] So, yes, when we have to think about dividing a fraction, it makes it very difficult. I need two people from each table to come see me. You're going to give everybody. Garrett, everybody gets two pieces of paper.",TalkBack.Year1.Strathom.Spring.012320-1.xlsx,5 - Providing Evidence/Explaining Reasoning
I don't get this.,"[T] That, that is fine for that person, too.
[T] I want to know how you think about it so... I will ask you about thinking... about how you thought about it.
[T] See... being asked to figure out how to think about it is more difficult than being asked to solve an equation, isn't it?
[T] Okay, go ahead.
[S] Is it not permissible to buy nine?","[T] Don't get it?
[T] But, if you really were buying two kinds of cake you have to think about money, the money that you have and the bill.
[T] After you ask for the bill you can't say I'm sorry I want to return this. Can you?
[S] Then you exchange.
[T] That has happened to me a lot, too. I say oh, sorry! Please return this.",Math JP4 transcript.xlsx,3 - Asking for More Information
Oh.,"[T] Awesome. Okay. Put your markers down, put your whiteboards down, put your hands in your lap and eyes on the board. Okay. New problem, you bought a vegetable tray for $12.19, you paid with a $20 bill, how much change did you get? Okay? I want you to set up this problem on your own and then turn your whiteboards over. Set up the problems.
[S] Is there any tax?
[T] What?
[S] Is there any tax?
[T] Oh, $12 and 19 cents includes tax. Tax is already included.","[T] Turn knee to knee and talk through this with your partner. I suggest you use the trade first method. Okay, knee to knee.
[T] Classidy class?
[S] Yessidy, yes.
[T] One, two, three, show me your boards. Okay. Explain to me what you chose for your top number at the top of your subtraction problem. Carson?
[S] 20",TalkBack.Year1.Koski.Fall.121619.xlsx,1 - None
Strategy are different ideas on how to solve something.,"[T] Keanu's my only friend out, right?
[S] Yes, I think so.
[T] Okay. All right. So I will know I am successful when I can apply one of the strategies practiced in this lesson on problem two and four on page 170. Strategy. What does the strategy mean? Aaron?
[S] The word strategy means official thing that you use to help you solve an equation.
[T] Excellent. Mason, you want to add to that?","[T] Excellent.
[S] Could you say techniques on how to solve problems?
[T] There you go. So, in math we call those techniques what?
[S] Strategies.
[T] Al...",TalkBack.Year2.Strathom.Spring.040221.xlsx,4 - Making a Claim
Three.,"[T] Ah. 1000000000 1000000000 Have many zeros have we attached? Just a minute.
[S] Nine.
[T] Nine. We have nine people standing. So, if I know the place value system, am I able to determine how many zeros need to be attached on that 10?
[S] Yes.
[T] If I wanted to go up to 100,000,000,000, Christian, I want to know how to go to 100,000,000,000, how many zeros do I attach?","[T] 100,000,000,000?
[S] Oh.
[T] How many did I attach with 1,000,000,000?
[S] Nine.
[T] Nine. So I want to go to 100,000,000,000. How many place values is that?",TalkBack.Year2.Strathom.Fall.102020.xlsx,4 - Making a Claim
"It's just like you have ten things where, how many different places can you put these two? ","[S] You talking about this?
[S] Yeah.
[S] No, It, it,
[S] Is that like.
[S] Is that one, the only one works for.","[S] That's all.
[S] Yeah, I know but.
[S] You know what I'm saying?
[S] But if there's, oh, yeah, two. 
[S] All right, I see what you're saying.",Video Mosiac 11th grade Pascal 1.xlsx,3 - Asking for More Information
"Wait, I think it's the purple, right?","[T] 3/4. Now, what about this one? Use fraction circle pieces or not for finding the answer to that top one; 1/5 plus 1/10.
[T] This is silent. This is silent. Does that make sense? When you do 1/5 and 1/10, you can do the same thing. Get out of a 1/5, get out a 1/10 and then cover the 1/5 with 1/10.
[T] 1/10 are--  Have you looked in the lost-and-found? What color are the 1/10?
[T] Green?
[S] I think it's light green-","[S] Okay, purple it is.
[T] All right, does that make sense now?
[S] Yes.
[T] Haley, does that makes sense?
[S] Yes.",TalkBack.Year1.Levy.Spring.120319.xlsx,2 - Relating to Another Student
Eight X cubed.,"[T] X cubed, correct. This is three squared, write it on the sheet of paper.
[T] Those of you that are finished, please raise your hand so I know when to check the results. Good, is it working out for you Paul?
[S] Yes, I'm done.
[T] Good, we can start reviewing the answers. Why don't you start Lubo?
[S] Three X cubed.","[T] Yes, you just made a verbal mistake, fine. Paul?
[S] Three X squared.
[S] Four X squared.
[T] Okay? The problem is three squared and one squared, which is four. Marcela?
[S] Ten X to the fifth power.",Math CZ3 transcript.xlsx,2 - Relating to Another Student
.,"[S] Do we have to write that?
[T] No, you are just playing with the things right now. If you're writing in your notebook, that means that you're drawing something and you're not doing what you're supposed to be doing. Put your pencil down so it doesn't even distract us. Now, number two people, I want you to pull out three-fourths and put them on top of your one whole. Go.
[T] I want you to pull out three-fourths.
[T] Now, as a table group, I want you to talk about if you were-- Your fraction circle should be on your tray. The yellow one should be on your red circle because they are part of your whole. As a table group, I want you to have a discussion. Talk about how would you break apart your wholes. How would you create an equation to show me how many fourths you have? Talk with your table group, you do not need anything out except for your yellow and your red.
[T] You do not need anything out except for your yellow and-- Okay, so what would your equation  show how we got 3/4? If you take one out how many is this? I'm sorry, what  ?","[T] You're talking about this  ? Okay. Are you talking about this  right here? How would you make that into an equation?
[S] .
[T] That's just a fraction.
[T] Okay, first of all, to do this, we have to know what an equation is, right?
[S] Yes.",TalkBack.Year1.Cornish.Spring.010920.xlsx,1 - None
"Yeah, well, a plus b to the second, so it would be if, or a plus b to the nth.","[S] That would be a plus b to the.
[S] This would be nothing, you know, it would be adding.
[S] Yeah, zero, one, two. 
[S] So a plus b to the second.
[S] Well, it'd be like N over N minus, but what?","[S] To the.
[S] No, all you need is like.
[S] N is factorial.
[S] It'd be n, n over.
[S] n, fa",Video Mosiac 11th grade Pascal 1.xlsx,2 - Relating to Another Student
*inauidble*,"[T] I know. I can see very well, thank you. Okay, hold your whiteboards up to the camera, please. Okay, so Maddy, I didn't want you to solve it. All I wanted to do those of you that saw that that's not what I wanted. I just wanted your estimate, only your estimate. Okay, so, Maya, will you turn your microphone on please?
[S] Yes.
[T] Okay, Maya, will you please explain your estimate, and then how you solved it?
[S] Okay, so I thought 11 twelfths was closer to a whole than a half, and then six twelfths is a half. So then I just subtracted and those two, 12/12ths minus six twelfths And I ended up with six twelfths.
[T] Okay, thank you very much. Um, so now, yes, we're doing that. We knew that the question, as Landon said was a subtraction question because they wanted to know how much we had left. The estimation was we knew that the benchmarks were fractions, one half and one because 11 twelfths is closer to one and 6/12ths equals a half. So we knew that if we take one minus a half that we're going to have at least a half left, okay? So then are under a half or close to a half left. So then the solution means that we just subtracted it. And our answer was five twelfths. Okay, Miss Julia. Miss Julia. Turn your microphone on.","[T] What?
[S] I was grabbing a notebook.
[T] Julia, I need you to stay in your room in front of the camera. You missed the entire lesson. Okay, we're getting ready to go now with the next one. All right, so, Paxton has painted mountain trees and chocolate bars. He uses a lot of brown paint. He is worried that he is almost out. Let's help him find out how much he has left. So Mason has one and nine twentieths of a tube of brown paint. And he used this 18/20 of a tube of his artwork. How much brown paint does he have left? Now, here is what I'm going to have you do. I'm gonna have you break up into breakout rooms again. And I am going to have you solve these problem this problem and be able to come back and explain how you came up with the answer. Okay, all right, here we go. And you have four minutes go.
[T] Austin I just put you in a room honey. I'm sorry.
[S] You are muted.",TalkBack.Year2.Strathom.Fall.121020.xlsx,1 - None
"Yes, there have to. ","[T] I’m not saying divide the line.
[S] Well, you could also put the one fourth on the one half and that could be
[S] No you can’t that’s an improper fraction. 
[S] There are fourths for each whole. 
[S] If you are dealing with two wholes then that would have to be eight fourths. ","[S] You can’t have a one fourth for two wholes.
[S] But, those two wholes can make one whole.
[S] No, they don’t. 
[S] There are two wholes separate.
[S] No. ",Video Mosaic Grade 4 Infinite Number Line 4.xlsx,2 - Relating to Another Student
"Yeah, but then she would have to call the two whites together one  sixth.","[T] How many of you used a red rod to represent one sixth in that model  and you showed it was bigger by one sixth? And Meredith says she  did it a little differently and she didn't get one sixth. And what did  you get Meredith?
[S] Two twelfths.
[T] What do you think about that?
[S] Well, in a way. No. Uh, uh.
[T] Well, she showed it's bigger by the two whites, she shows two  whites bigger.","[S] Yeah, exactly.
[S] She's calling the whites, one white one sixth.
[S] Yeah, she said
[T] She's calling one white one sixth?
[S] No I'm not, I'm calling it one twelfth.",Boats and Fish 4_Grade 4 .xlsx,2 - Relating to Another Student
How many can we make? This?,"[T] Yes. It's okay if first of all you get one, but-
[S] With one zero.
[T] Is one all you made?
[S] (inaudible)
[T] In all? There's three.","[T] Hm. I wonder how many all of you can mak- make.
[S] Oh, I see. That's what you mean.
[T] Yes. The answer is not just one.
[S] Oh. That's right, huh? Oh. That's right, huh? Oh.
[S] I got it.",Math JP2 transcript.xlsx,3 - Asking for More Information
Where's the exclamation point?,"[S] That makes sense.
[S] Yeah. 
[S] That make, let's see if it works. 
[S] So say
[S] Where's factorial on this?","[S] Math.
[S] Ah.
[S] Probability 4.
[S] What are we doing, three or six?
[S] Just hit four.",Video Mosiac 11th grade Pascal 1.xlsx,3 - Asking for More Information
"First of all, we disagreed. But then I, but then I looked at it more and then I realized that it they're pretty much the same fractions.","[T] Hi. did you guys finish number four?
[S] Yeah.
[T] What did you decide? Do you agree?
[S] We decided We agree.
[T] you agree?","[T] Hmm. Are you sure about that? I want you to do some investigating. So how do you say the first decimal? point nine? How do you say that? .9 is nine tenths. But if I put it out of 100 how many hundreds would it be?
[S] 90
[T] 90 hundredths. How do you say the second decimal? 0.09? How do you say that one? It's nine.
[S] I disagree. I disagree now.
[T] Oh, why do you disagreeNow, Leah?",TalkBack.Year2.Tolliver.011321.xlsx,2 - Relating to Another Student
You mean: times minus three.,"[T] Are you able to do this?
[T] Let's have a look.
[T] I will indicate clearly where the reddest points are.
[T] Let's see. The green one is not very legible.
[S] Times three.","[S] No, it's minus three times-
[S] Hello! Four minus three...
[S] No, I know that.
[T] In case more people are having difficulties in making the equations, you could close your book for a moment and try to do this one.
[T] You don't have to, but you may. It is good practice.",Math NL1 transcript.xlsx,2 - Relating to Another Student
Cars.,"[S] Wait.
[T] We are going to learn one more little thing. This is very subtle. It's not like a math-specific thing. It's when people are trying to lie to you with data. People do this all the time. People who know how numbers work-
[S] Marketing.
[T] -lie to people who don't know how numbers work. This is why math is so important because people will take advantage of you if you are one of the people in this world who are one of the people who go like, ""I don't like math. Math is too hard."" They will take advantage of you. We're going to talk about how people can take advantage of you. You need to be smart about it. We're going to play-- What's wrong with this display? Yes.
[T] What did he say?","[T] I swear, that is probably one of the biggest. When you go to buy your first car, they're going to mess with you on the payments. If you're ever going to buy a car-
[S] I'm buying a car
[T] If you're ever going to buy a car and they tell you how much it's going to cost you per month and you take their first offer, you're getting totally messed over.
[S] Negotiate.
[T] Negotiate. Right. Here we go. Let's go back to the first thing here. Here is the problem with this. Nobody, when I listed this, when I put this up at the beginning of class, really got the gist of why this is a problem. In 1998, what was the value of the home?",TalkBack.Year1.Wolfram.Spring.012120-2.xlsx,4 - Making a Claim
What's paper?,"[T] And then... people who say that you can do it to some extent and you understand it are paper, okay?
[T] People who say... I don't understand it at all are stone, okay?
[T] People who say that they are in the middle are scissors, okay? Okay.
[T] Then one, two, and... three.
[T] Oh... there are no paper people.","[T] Paper is people who say that they understand it completely.
[T] One person.
[T] Okay.
[T] Then scissors people and paper people, there are even quite a few stone people who responded, right?
[T] Okay, then I will try and ask a few people, okay?",Math JP4 transcript.xlsx,3 - Asking for More Information
"Oh, no, what is she doing?","[S] Yes.
[T] Are you sure?
[S] Yes.
[S] I'm sure.
[T] . No, don't do that.","[T] Four by six.
[S] Okay. That's kind of easy .
[S] That's kind of easy.
[T] Okay. Give people some think time, and that means you're being respectful. Chloe and Nathan, give people some think time, that means you're being respectful and being quiet.
[S] .",TalkBack.Year2.Smith.Fall.102320.xlsx,3 - Asking for More Information
"I already knew 1/2 was 2/4 and 2/4 is equals 1/2, and then I knew 2/4 was","[T] Now, what did you do first? What did you do first, Ari?
[S] I took 1/2 and I put 2/4 over it, and then that was 1/2 so then I put another 1/4 next to it since it was being added. So
[T] All right, so what I heard you say is that-- I'm going to use colors. You used a pink piece, put two yellow pieces on top of it, added one more yellow. Is that correct? We did cross off the 1/2.
[S] That's what I was going to say.
[T] James, say it again.","[T] Now, let me ask. How many of you feel like, ""Yes, this is . I've got this. This is comfortable learning""? Okay,  -quicker here. The next step is 2/4 plus 1/4 equals- what was our answer?
[S] 3/4.
[T] 3/4. Now, what about this one? Use fraction circle pieces or not for finding the answer to that top one; 1/5 plus 1/10.
[T] This is silent. This is silent. Does that make sense? When you do 1/5 and 1/10, you can do the same thing. Get out of a 1/5, get out a 1/10 and then cover the 1/5 with 1/10.
[T] 1/10 are--  Have you looked in the lost-and-found? What color are the 1/10?",TalkBack.Year1.Levy.Spring.120319.xlsx,5 - Providing Evidence/Explaining Reasoning
.,"[S] 26 times 4.
[S] Okay. So what should be the only two numbers up here? 6 What should this number be though? There you go. That's going to help you. What should this number really be? Is it 2? What is it? Am I really only doing 4 times 2? Think about value. What is the value of that 2? What is the value of that 2?
[S] Ones.
[T] There you go. Would you discuss that? And would you discuss that? Thank you, friends. Keep working for just a second.
[T] Okay. My two friends, please come to the front.","[T] Oh, it was.
[S] It's not working.
[S] It's not getting back .
[T] Don't worry about the camera, don't worry about the camera. I'll just walk back and get it back with me. Okay, here you go. Follow me. Come on, follow me. Okay. There we go.
[T] All right. Please go ahead. Explain what you did on the one that I asked you to explain.",TalkBack.Year2.Strathom.Fall.102320.xlsx,1 - None
